rowLabel,time(s),nformants,F1(Hz),B1(Hz),F2(Hz),B2(Hz),F3(Hz),B3(Hz),F4(Hz),B4(Hz),F5(Hz),B5(Hz)
?,0.064,5,825.2760000000001,809.283,1703.4489999999998,992.878,2852.005,1060.991,3730.053,708.904,4843.404,819.3
?,0.07400000000000001,5,840.415,696.5310000000001,1674.703,1067.674,2915.486,1061.359,3846.652,785.093,4808.168,1055.232
?,0.084,4,861.383,726.5319999999999,1992.0739999999998,1677.0320000000002,3030.105,1225.2930000000001,4159.907,781.831,--undefined--,--undefined--
?,0.094,4,891.284,795.2669999999999,2273.689,1390.2079999999999,3225.5879999999997,1037.85,4240.602,751.583,--undefined--,--undefined--
?,0.10400000000000001,5,864.888,809.447,1848.0339999999999,2153.5370000000003,3307.7470000000003,1199.394,3349.644,2701.205,4649.348,1248.357
?,0.114,5,824.63,640.888,2137.24,1172.598,2696.153,4676.982,3480.311,835.582,4825.539,1145.86
?,0.124,4,875.1489999999999,602.619,2178.831,525.425,3483.514,708.957,4528.591,1753.977,--undefined--,--undefined--
?,0.134,4,846.316,604.827,2162.874,475.361,3439.0170000000003,893.332,4145.639,1442.881,--undefined--,--undefined--
?,0.14400000000000002,4,795.1310000000001,767.471,2143.218,730.697,3441.968,1782.0720000000001,3821.363,966.794,--undefined--,--undefined--
?,0.154,5,670.041,1046.0639999999999,1680.8339999999998,1172.5610000000001,2585.725,1064.395,3728.753,645.85,4807.339,1080.992
?,0.16399999999999998,4,1385.0610000000001,641.0840000000001,2503.291,645.011,3711.236,620.067,4740.76,849.163,--undefined--,--undefined--
?,0.174,4,1436.99,400.505,2470.598,454.23800000000006,3753.183,604.568,4703.516,899.881,--undefined--,--undefined--
?,0.184,4,1467.274,372.675,2458.121,454.944,3764.528,639.936,4645.888,861.307,--undefined--,--undefined--
?,0.19399999999999998,4,1466.846,584.596,2479.475,723.762,3798.6020000000003,671.873,4664.155,1138.923,--undefined--,--undefined--
